MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF11-W-3620-04,808,12.25,VERTEX 50,904.0,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-04,809,12.25,VERTEX 50,904.0,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-04,909,12.25,VERTEX 50,904.0,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-04,910,12.25,VERTEX 50,904.0,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-04,911,12.25,VERTEX 50,904.0,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-04,912,12.25,VERTEX 50,904.0,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-04,913,12.25,VERTEX 50,904.0,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-04,914,12.25,VERTEX 50,904.0,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-04,1005,12.25,VERTEX 50,904.0,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-04,1006,12.25,VERTEX 50,904.0,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-04,1007,12.25,VERTEX 50,904.0,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-04,1008,12.25,VERTEX 50,904.0,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-04,1101,12.25,VERTEX 50,904.0,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-04,1102,12.25,VERTEX 50,904.0,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-04,5010,12.25,VERTEX 30,609.0,,,,0.0,,,8.0,,,,,,,,,,,,,
MAF11-W-3620-04,5011,12.25,VERTEX 30,609.0,,,,0.0,,,8.0,,,,,,,,,,,,,
MAF11-W-3620-07,5001,12.25,VERTEX 30,609.0,,,,0.0,,,8.0,,,,,,,,,,,,,
MAF11-W-3620-07,5002,12.25,VERTEX 30,609.0,,,,0.0,,,8.0,,,,,,,,,,,,,
MAF11-W-3620-07,5003,12.25,VERTEX 30,609.0,,,,0.0,,,8.0,,,,,,,,,,,,,
MAF11-W-3620-07,5004,12.25,VERTEX 30,609.0,,,,0.0,,,8.0,,,,,,,,,,,,,
MAF11-W-3620-07,5006,12.25,VERTEX 30,609.0,,,,0.0,,,8.0,,,,,,,,,,,,,
MAF11-W-3620-07,5008,12.25,VERTEX 30,609.0,,,,0.0,,,8.0,,,,,,,,,,,,,
MAF11-W-3620-07,5009,12.25,VERTEX 30,609.0,,,,0.0,,,8.0,,,,,,,,,,,,,
MAF11-W-3620-07,5010,12.25,VERTEX 30,609.0,,,,0.0,,,8.0,,,,,,,,,,,,,
MAF11-W-3620-07,5011,12.25,VERTEX 30,609.0,,,,0.0,,,8.0,,,,,,,,,,,,,
MAF11-W-3620-07,5012,12.25,VERTEX 30,609.0,,,,0.0,,,8.0,,,,,,,,,,,,,
MAF11-W-3620-07,5013,12.25,VERTEX 30,609.0,,,,0.0,,,8.0,,,,,,,,,,,,,
MAF11-W-3620-07,5014,12.25,VERTEX 30,609.0,,,,0.0,,,8.0,,,,,,,,,,,,,
MAF11-W-3620-07,5018,12.25,VERTEX 30,609.0,,,,0.0,,,8.0,,,,,,,,,,,,,
MAF11-W-3620-07,101,12.25,VERTEX 50,904.0,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-07,102,12.25,VERTEX 50,904.0,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-07,103,12.25,VERTEX 50,904.0,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-07,104,12.25,VERTEX 50,904.0,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-07,105,12.25,VERTEX 50,904.0,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-07,106,12.25,VERTEX 50,904.0,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-07,110,12.25,VERTEX 50,904.0,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-07,112,12.25,VERTEX 50,904.0,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-07,116,12.25,VERTEX 50,904.0,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-07,201,12.25,VERTEX 50,904.0,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-07,202,12.25,VERTEX 50,904.0,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-07,203,12.25,VERTEX 50,904.0,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-07,303,12.25,VERTEX 50,904.0,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-07,601,12.25,VERTEX 50,903.8504475,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-07,602,12.25,VERTEX 50,903.8504475,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-07,603,12.25,VERTEX 50,903.8504475,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-07,604,12.25,VERTEX 50,903.8504475,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-07,605,12.25,VERTEX 50,903.8504475,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-07,633,12.25,VERTEX 50,903.8504475,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-07,634,12.25,VERTEX 50,903.8504475,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-07,AUX9,12.25,VERTEX 30,608.6535,,,,0.0,,,8.0,,,,,,,,,,,,,
MAF11-W-3620-07,AUX10,12.25,VERTEX 30,608.6535,,,,0.0,,,8.0,,,,,,,,,,,,,
MAF11-W-3620-07,AUX12,12.25,VERTEX 30,608.6535,,,,0.0,,,8.0,,,,,,,,,,,,,
MAF11-W-3620-07,AUX13,12.25,VERTEX 30,608.6535,,,,0.0,,,8.0,,,,,,,,,,,,,
